              Package         Version
arrow         "arrow"         "17.0.0.1"
askpass       "askpass"       "1.2.0"
assertthat    "assertthat"    "0.2.1"
backports     "backports"     "1.5.0"
base64enc     "base64enc"     "0.1-3"
BH            "BH"            "1.84.0-0"
bigassertr    "bigassertr"    "0.1.6"
bigreadr      "bigreadr"      "0.2.5"
BiocManager   "BiocManager"   "1.30.25"
BiocVersion   "BiocVersion"   "3.19.1"
bit           "bit"           "4.0.5"
bit64         "bit64"         "4.0.5"
blob          "blob"          "1.2.4"
broom         "broom"         "1.0.6"
bslib         "bslib"         "0.8.0"
cachem        "cachem"        "1.1.0"
callr         "callr"         "3.7.6"
cellranger    "cellranger"    "1.1.0"
cli           "cli"           "3.6.3"
clipr         "clipr"         "0.8.0"
codetools     "codetools"     "0.2-20"
coloc         "coloc"         "5.2.3"
colorspace    "colorspace"    "2.1-1"
conflicted    "conflicted"    "1.2.0"
cpp11         "cpp11"         "0.5.0"
crayon        "crayon"        "1.5.3"
curl          "curl"          "5.2.2"
data.table    "data.table"    "1.16.2"
DBI           "DBI"           "1.2.3"
dbplyr        "dbplyr"        "2.5.0"
DEoptimR      "DEoptimR"      "1.1-3"
digest        "digest"        "0.6.37"
dplyr         "dplyr"         "1.1.4"
dtplyr        "dtplyr"        "1.3.1"
evaluate      "evaluate"      "0.24.0"
fansi         "fansi"         "1.0.6"
farver        "farver"        "2.1.2"
fastmap       "fastmap"       "1.2.0"
ff            "ff"            "4.5.0"
fontawesome   "fontawesome"   "0.5.2"
forcats       "forcats"       "1.0.0"
fs            "fs"            "1.6.4"
gargle        "gargle"        "1.5.2"
generics      "generics"      "0.1.3"
getopt        "getopt"        "1.20.4"
ggplot2       "ggplot2"       "3.5.1"
glue          "glue"          "1.7.0"
googledrive   "googledrive"   "2.1.1"
googlesheets4 "googlesheets4" "1.1.1"
gridExtra     "gridExtra"     "2.3"
gtable        "gtable"        "0.3.5"
haven         "haven"         "2.5.4"
highr         "highr"         "0.11"
hms           "hms"           "1.1.3"
htmltools     "htmltools"     "0.5.8.1"
httr          "httr"          "1.4.7"
ids           "ids"           "1.0.1"
igraph        "igraph"        "2.1.1"
irlba         "irlba"         "2.3.5.1"
isoband       "isoband"       "0.2.7"
jquerylib     "jquerylib"     "0.1.4"
jsonlite      "jsonlite"      "1.8.8"
knitr         "knitr"         "1.48"
labeling      "labeling"      "0.4.3"
lattice       "lattice"       "0.22-6"
lifecycle     "lifecycle"     "1.0.4"
lubridate     "lubridate"     "1.9.3"
magrittr      "magrittr"      "2.0.3"
MASS          "MASS"          "7.3-61"
Matrix        "Matrix"        "1.7-0"
matrixStats   "matrixStats"   "1.3.0"
memoise       "memoise"       "2.0.1"
mgcv          "mgcv"          "1.9-1"
mime          "mime"          "0.12"
